Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Supervisor District,City Analysis Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2015-060,(6) Complete,1532 Howard,1532,Howard,St,94103,6,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,12/22/2016,09/15/2017,09/15/2017,02/26/2019,Sia Consulting Corp,,,2013.1305,http://propertymap.sfplanning.org/?search=2013.1305,"2013.1305E,2013.1305PPA,2013.1305U",06/26/2015,Fee Payment,15,0,15,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.772817626,-122.416284261999,POINT (-122.416284261999 37.772817626)
2015-065,(4) Site Work Permit Issued,530 Brannan,530,Brannan,St,94107,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,12/30/2016,,06/30/2017,08/24/2019,Essex Property Trust,,,2014-000035PRJ,http://propertymap.sfplanning.org/?search=2014-000035PRJ,,06/11/2015,Fee Payment,26,0,26,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.778061779,-122.397452125999,POINT (-122.397452125999 37.778061779)
2016-071,(5) First Construction Document Issued,1990 Folsom,1990,Folsom,St,94103,9,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,03/04/2019,08/31/2018,03/15/2019,03/15/2019,12/22/2020,Tenderloin Neighborhood Development Corporation,Mission Economic Development Agency,"1990 Folsom Housing Associates, L.P.",Not Yet Available,,,01/25/2018,,143,142,1,99,0,23,48,60,11,0,0,40,1,2bd,142,0,0,0,0,0,29,0,0,15,72,0,28,27,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2013-050,(5) First Construction Document Issued,Fulton 555,555,Fulton,St,94118,5,Hayes Valley,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,03/26/2014,07/28/2014,07/28/2014,06/29/2019,"Fulton Street Ventures, LLC",,,2013.0063,http://propertymap.sfplanning.org/?search=2013.0063,"2013.0063C,2013.0063Q,2013.0063S,2013.0063T",10/03/2013,On-site BMR Project,139,17,122,12,0,3,6,8,0,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,37.778159243738,-122.425832395412,POINT (-122.425832395412 37.778159243738)
2015-066,(1) Preliminary Phase,967 Mission (Land Dedication Site),967,Mission,St,94103,6,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,Not Yet Available,,,,,97,96,1,99,0,0,0,0,0,0,0,0,0,,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-025,(4) Site Work Permit Issued,1394 Harrison St,1394,Harrison,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,07/20/2018,,01/18/2019,03/13/2021,Realtex Group,,,2014.1213,http://propertymap.sfplanning.org/?search=2014.1213,"2014.1213DRP,2014.1213DRP-02,2014.1213U",05/30/2018,Fee Payment,67,0,67,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2019-005,(3) Design with Entitlements Approved,828 Brannan St,828,Brannan,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,04/23/2021,06/17/2023,"828 Brannan Partners, LLC (c/o The S. Hekemian Group)",,,2015-015789PRJ,http://propertymap.sfplanning.org/?search=2015-015789PRJ,,04/25/2019,On-site BMR Project,50,9,41,18,0,2,3,4,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2010-003,(4) Site Work Permit Issued,Casa de la Mision,3001,24th,St,94110,9,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,01/01/2020,,,01/01/2020,08/01/2021,Mercy Housing California,Mission Neighborhood Centers,Mercy Housing California 59,Not Yet Available,,,07/12/2018,,45,44,1,98,0,44,0,0,0,0,0,23,1,studio,0,44,0,44,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-040,(5) First Construction Document Issued,Hazel Betsey Apts,3554,17th,St,94110,8,Mission,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,08/15/2019,01/26/2018,,08/15/2019,12/15/2019,Bernal Heights Housing Corporation,,Bernal Heights Housing Corporation,Not Applicable,,,,,9,9,0,100,0,6,3,0,0,0,0,3,0,,9,0,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-084,(4) Site Work Permit Issued,2675 Folsom,2675,Folsom,St,94110,9,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,12/07/2018,,06/07/2019,07/31/2021,Muhammad A. Nadhiri,,,2014-000601PRJ,http://propertymap.sfplanning.org/?search=2014-000601PRJ,"2014-000601CUA,2014-000601ENX,2014-000601PPA",09/22/2016,On-site BMR Project,117,19,98,16,0,4,8,7,0,0,0,0,0,,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37.754663184,-122.413813723999,POINT (-122.413813723999 37.754663184)
2016-099,(1) Preliminary Phase,"HPSY II-CP, Block 6B",,Address not yet assigned,,94124,10,Bayview Hunters Point,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Unknown,12/31/2025,,,12/31/2025,06/24/2027,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,105,104,1,99,0,0,0,0,0,0,0,0,1,,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2017-007,(3) Design with Entitlements Approved,1228 Folsom,1228,Folsom,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,01/04/2019,02/27/2021,RG Architecture,,,2014.0964,http://propertymap.sfplanning.org/?search=2014.0964,"2014.0964ENV,2014.0964ENX,2014.0964GEN-02,2014.0964PPA,2014.0964U,2014.0964VAR",01/05/2017,On-site BMR Project,24,3,21,13,0,0,2,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.774809017,-122.410902859999,POINT (-122.410902859999 37.774809017)
2016-012,(4) Site Work Permit Issued,988 Harrison,988,Harrison,St,94107,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,11/30/2018,,05/31/2019,07/24/2021,988 Harrison LLC,,,2014.0832,http://propertymap.sfplanning.org/?search=2014.0832,"2014.0832CUA,2014.0832E,2014.0832ENX,2014.0832PPA,2014.0832SHD,2014.0832U",02/25/2016,On-site BMR Project,90,12,78,13,0,0,0,0,0,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37.777664086,-122.404157098999,POINT (-122.404157098999 37.777664086)
2018-002,(4) Site Work Permit Issued,229 Ellis,229,Ellis,St,94102,6,Tenderloin,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,03/20/2020,05/14/2022,"Reuben, Junius & Rose, LLP",,,2016-007593CUA,http://propertymap.sfplanning.org/?search=2016-007593CUA,,03/22/2018,Fee Payment,55,0,55,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2013-038,(6) Complete,1750 McAllister,1750,McAllister,St,94115,5,Western Addition,MOHCD,Rental Assistance Demonstration Program (RAD),0,Rehabilitation,Rental,11/07/2016,11/01/2016,11/01/2016,11/01/2016,04/10/2019,Community Housing Partnership,,"1750 McAllister, LP",2015-012129PRJ,http://propertymap.sfplanning.org/?search=2015-012129PRJ,2015-012129VAR,,,97,97,0,100,0,75,21,1,0,0,0,10,0,,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-011,(6) Complete,580 De Haro,580,De Haro,St,94107,10,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,09/23/2016,01/05/2017,01/05/2017,04/19/2019,,,,2013.1671,http://propertymap.sfplanning.org/?search=2013.1671,"2013.1671C,2013.1671E,2013.1671U",02/11/2016,Fee Payment,12,0,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.762564798,-122.401698861999,POINT (-122.401698861999 37.762564798)
2016-057,(1) Preliminary Phase,101 Hyde,101,Hyde,St,94102,6,Tenderloin,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,Not Yet Available,,,,,85,84,1,99,0,0,0,0,0,0,0,0,1,,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2017-006,(3) Design with Entitlements Approved,35 Fair,29-35,Fair,Ave,94110,9,Bernal Heights,MOHCD,Small Sites Program,0,Rehabilitation,Rental,01/02/2019,,,01/02/2019,11/01/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,4,4,0,100,0,0,4,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2017-024,(4) Site Work Permit Issued,980 Folsom,980,Folsom,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,02/27/2019,,08/28/2019,10/21/2021,Goldman Architecture,,,2013.0977,http://propertymap.sfplanning.org/?search=2013.0977,"2013.0977E,2013.0977ENX,2013.0977PPA,2013.0977SHD,2013.0977TDM,2013.0977U",10/05/2017,On-site BMR Project,33,4,29,12,0,0,2,2,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37.779076736,-122.405387103999,POINT (-122.405387103999 37.779076736)
2016-022,(3) Design with Entitlements Approved,430 Eddy,430,Eddy,St,94109,6,Tenderloin,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,03/16/2018,05/09/2020,430 Eddy Associates LLC,,,2014.0400,http://propertymap.sfplanning.org/?search=2014.0400,"2014.0400CUA,2014.0400E,2014.0400PPA,2014.0400SHD,2014.0400U",03/17/2016,On-site BMR Project,23,3,20,13,0,3,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.783936713,-122.414833879999,POINT (-122.414833879999 37.783936713)
2018-028,(5) First Construction Document Issued,1145 Polk St,1145,Polk,St,94109,3,Nob Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,08/29/2018,,02/27/2019,04/22/2021,Dolman Property Development Group,,,2014-001674PRJ,http://propertymap.sfplanning.org/?search=2014-001674PRJ,"2014-001674ENV,2014-001674PPA,2014-001674TDM,2014-001674VAR,2017-015781ENF",08/10/2018,On-site BMR Project,54,8,46,15,0,8,0,0,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,37.787465809,-122.420298389999,POINT (-122.420298389999 37.787465809)
2016-053,(5) First Construction Document Issued,3701 Noriega,3701,Noriega,St,94122,4,Sunset/Parkside,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,06/04/2018,12/17/2018,12/17/2018,02/09/2021,,,,2014-002414PRJ,http://propertymap.sfplanning.org/?search=2014-002414PRJ,"2014-002414CUA,2014-002414ENV,2014-002414PPA,2014-002414VAR",05/12/2016,Fee Payment,12,0,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.752807918,-122.503572960999,POINT (-122.503572960999 37.752807918)
2017-039,(4) Site Work Permit Issued,1068 Mission,1064-1068,Mission,St,94103,6,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,01/15/2020,,,01/15/2020,08/01/2021,Mercy Housing California,Episcopal Community Services,"1064 Mission, L.P.",Not Yet Available,,,08/30/2018,,258,256,2,99,0,256,0,0,0,0,0,0,2,1bd,153,103,0,153,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2019-015,(2) Predevelopment Feasibility,Barcelona Apts,270,Turk,St,94102,6,Tenderloin,MOHCD,Big Sites Program,0,Rehabilitation,Rental,08/01/2020,,,08/01/2020,09/25/2022,Tenderloin Neighborhood Development Corporation,,,0,http://propertymap.sfplanning.org/?search=0,,,,86,86,0,100,19,50,17,0,0,0,0,0,0,,86,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,37.78314,-122.41361,POINT (-122.41361 37.78314)
2016-074,(5) First Construction Document Issued,Mission Bay South 6 West,691,China Basin,St,94158,6,Mission Bay,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,05/01/2019,10/29/2018,03/07/2019,03/07/2019,03/01/2021,Mercy Housing California,,Mercy Housing California 78 L.P.,Not Applicable,,,,,152,151,1,99,0,10,34,76,29,1,1,0,1,2bd,151,0,0,0,0,0,35,0,0,35,33,0,46,37,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-051,(5) First Construction Document Issued,The Sutherland,915,Minna,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,11/08/2017,03/16/2018,03/16/2018,05/09/2020,"Alta Investors, LP",,,2015-002600PRJ,http://propertymap.sfplanning.org/?search=2015-002600PRJ,"2015-002600ENV,2015-002600ENX,2015-002600PPA,2015-002600SHD",05/12/2016,On-site BMR Project,49,7,42,14,0,2,2,2,1,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,37.774233388,-122.415805839999,POINT (-122.415805839999 37.774233388)
2016-038,(5) First Construction Document Issued,Washburn Hotel,42,Washburn,St,94103,6,South of Market,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,01/01/2019,,,01/01/2019,05/01/2019,Conard House,,Conard House Development Corp,Not Applicable,,,,,22,22,0,100,22,0,0,0,0,0,0,6,0,,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2019-012,(2) Predevelopment Feasibility,3544 Taraval St,3544,Taraval,St,94116,4,Sunset/Parkside,MOHCD,Small Sites Program,0,Rehabilitation,Rental,,,,,,Mission Economic Development Agency,,"MEDA Small Properties, LLC",0,http://propertymap.sfplanning.org/?search=0,,,,6,6,0,100,0,0,0,6,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2017-005,(5) First Construction Document Issued,2217-2221 Mission,2217-2221,Mission,St,94110,9,Mission,MOHCD,Small Sites Program,0,Rehabilitation,Rental,07/18/2018,,,07/18/2018,11/01/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,8,8,0,100,0,0,7,1,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-094,(1) Preliminary Phase,Mission Bay South Block 12 West,,Address not yet assigned,,94158,6,Mission Bay,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,12/01/2021,,,12/01/2021,12/01/2023,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,145,144,1,99,0,0,0,0,0,0,0,0,1,,144,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-023,(1) Preliminary Phase,Eastern Park Apartments,711,Eddy,St,94102,6,Tenderloin,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,02/01/2020,,,02/01/2020,03/27/2022,Northern California Presbyterian Homes and Services,,Northern California Presbyterian Homes and Services,Not Yet Available,,,,,202,201,1,100,0,0,201,0,0,0,0,0,1,1bd,0,201,0,0,0,0,0,0,0,0,20,0,181,0,0,0,0,0,0,0,0,0,37.782767679,-122.419564577999,POINT (-122.419564577999 37.782767679)
2017-047,(1) Preliminary Phase,772 Pacific Ave,772,Pacific,Ave,94133,3,Chinatown,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,Not Yet Available,,,,,50,49,1,98,0,0,0,0,0,0,0,0,1,,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2017-044,(6) Complete,606 Capp,606,Capp,St,94110,9,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,05/02/2018,06/05/2018,06/05/2018,04/08/2019,606 Capp St LLC,,,2015-010361PRJ,http://propertymap.sfplanning.org/?search=2015-010361PRJ,"2015-010361CND,2015-010361ENV,2015-010361PPA,2015-010361TDM",11/18/2017,Fee Payment,20,0,20,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.756735075,-122.418091889999,POINT (-122.418091889999 37.756735075)
2018-027,(5) First Construction Document Issued,"188 Hooper St (1140 7th St, 1111 8th St)",188,Hooper,St,94103,10,Mission Bay,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,08/27/2018,12/17/2018,12/17/2018,02/09/2021,"Reuben, Junius & Rose, LLP",,,2016-001557PRJ,http://propertymap.sfplanning.org/?search=2016-001557PRJ,"2016-001557ENV,2016-001557ENV-02,2016-001557ENX,2016-001557GPR,2016-001557IMP,2016-001557MCM,2016-001557PPA,2016-001557TDM,2016-001557VAR,2018-007182CUA",06/28/2018,Exempt Project (student housing),280,0,280,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.767887971,-122.400375352999,POINT (-122.400375352999 37.767887971)
2014-003,(5) First Construction Document Issued,Transbay Block 8,250,Fremont,St,94105,6,Financial District/South Beach,OCII,OCII Inclusionary Rental Program,Transbay,New Construction,Rental,10/28/2016,07/13/2016,05/12/2016,05/12/2016,04/01/2019,Related California,Tenderloin Neighborhood Development Corporation,"T8 Urban Housing Associates, LLC",Not Applicable,,,,,350,70,280,20,0,20,32,18,0,0,0,0,1,1bd,70,0,0,0,0,0,0,0,0,11,59,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-013,(3) Design with Entitlements Approved,1567 California,1567,California,St,94109,3,Nob Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,02/23/2018,04/18/2020,"1567 California, LLC",,,2014.0284,http://propertymap.sfplanning.org/?search=2014.0284,"2014.0284CUA,2014.0284E,2014.0284U,2014.0284VAR,2015-004221ENF",02/25/2016,On-site BMR Project,63,8,55,13,0,1,4,2,1,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,37.790319069,-122.420276941999,POINT (-122.420276941999 37.790319069)
2016-128,(3) Design with Entitlements Approved,CPS-Block 8a,95,Harney Way,,94124,10,Bayview Hunters Point,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,07/01/2023,,,07/01/2023,12/23/2023,,,,0,http://propertymap.sfplanning.org/?search=0,,05/16/2017,,127,13,114,10,0,0,0,0,0,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2007-003,(6) Complete,Eddy & Taylor,210,Taylor,St,94102,6,Tenderloin,MOHCD,Multifamily Rental Program,0,New Construction,Rental,06/06/2017,02/07/2017,06/28/2017,06/28/2017,04/30/2019,Tenderloin Neighborhood Development Corporation,,"Eddy & Taylor Associates, LP",2015-001077PRJ,http://propertymap.sfplanning.org/?search=2015-001077PRJ,2015-001077CUA,,,113,112,1,99,0,16,14,67,15,0,0,12,1,2bd,112,0,0,30,5,30,0,35,0,0,77,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-072,(4) Site Work Permit Issued,651 Geary,651,Geary,St,94102,6,Tenderloin,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,12/04/2018,,06/04/2019,07/28/2021,Geary Place LLC,,,2014.0482,http://propertymap.sfplanning.org/?search=2014.0482,"2014.0482C,2014.0482PPA,2014.0482U,2014.0482VAR",07/07/2016,On-site BMR Project,52,6,46,12,0,1,3,2,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,37.786344152,-122.413955467999,POINT (-122.413955467999 37.786344152)
2015-008,(2) Predevelopment Feasibility,966 Oak St (Purple House),966,Oak,St,94117,5,Hayes Valley,MOHCD,Small Sites Program,0,Rehabilitation,Rental,03/15/2020,,,03/15/2020,09/15/2020,San Francisco Community Land Trust,,San Francisco Community Land Trust,2016-006545PRJ,http://propertymap.sfplanning.org/?search=2016-006545PRJ,2016-006545CUA,,,10,10,0,100,10,0,0,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2013-053,(5) First Construction Document Issued,735 Davis Senior (88 Broadway Senior),735,Davis,St,94111,3,Financial District/South Beach,MOHCD,Multifamily Rental Program,0,New Construction,Rental,06/17/2019,12/11/2018,,06/17/2019,11/15/2020,BRIDGE Housing Corporation,John Stewart Company,735 Davis Senior LP,2016-007850PRJ,http://propertymap.sfplanning.org/?search=2016-007850PRJ,"2016-007850COA,2016-007850CUA,2016-007850ENV,2016-007850GPR,2016-007850PPA,2016-007850PRV,2016-007850SHD",05/03/2018,,53,52,1,98,0,24,28,0,0,0,0,0,1,2bd,0,52,0,15,0,15,0,0,13,0,25,0,6,8,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2012-022,(5) First Construction Document Issued,181 Fremont,181,Fremont,St,94107,6,Financial District/South Beach,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,12/26/2013,01/24/2014,01/24/2014,06/29/2019,181 Fremont LLC,,,2014.1399,http://propertymap.sfplanning.org/?search=2014.1399,"2014.1399W,2014.1399X",12/06/2012,Fee Payment,74,0,74,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788147745,-122.406046300999,POINT (-122.406046300999 37.788147745)
2015-011,(5) First Construction Document Issued,777 Tennessee,777,Tennessee,St,94107,10,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,04/27/2017,10/17/2017,10/17/2017,12/11/2019,Triple T Tennessee LLC,,,2013.0312,http://propertymap.sfplanning.org/?search=2013.0312,"2013.0312E,2013.0312E_3,2013.0312K,2013.0312PPA,2013.0312U,2013.0312X",04/30/2015,On-site BMR Project,59,8,51,14,0,0,5,2,1,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,37.762026765,-122.389324477999,POINT (-122.389324477999 37.762026765)
2018-016,(3) Design with Entitlements Approved,2750 19th St,2750,19th,St,94110,10,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,08/21/2020,10/15/2022,"Reuben, Junius & Rose, LLP",,,2014-001400ENX,http://propertymap.sfplanning.org/?search=2014-001400ENX,,08/23/2018,On-site BMR Project,60,11,49,18,0,0,6,5,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-010,(3) Design with Entitlements Approved,106 South Park (Gran Oriente Filipino),106,South Park,St,94107,6,South of Market,MOHCD,Small Sites Program,0,Rehabilitation,Rental,10/01/2019,,,10/01/2019,04/01/2021,Mission Housing Development Corporation,,Mission Housing Development Corporation,Not Applicable,,,,,24,24,0,100,24,0,0,0,0,0,0,0,0,,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2015-037,(4) Site Work Permit Issued,"941 Mission - ""M-2 Site"" (434 Minna St)",941,Mission,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,12/18/2020,02/11/2023,Forest City,,,2018-011363PRJ,http://propertymap.sfplanning.org/?search=2018-011363PRJ,,12/20/2018,On-site BMR Project,288,57,231,20,0,0,0,0,0,0,0,0,0,,57,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,37.781730867,-122.406309112999,POINT (-122.406309112999 37.781730867)
2016-017,(3) Design with Entitlements Approved,"Block 48, Phase 3 (Blocks H, I, K, L)",979,Oakdale,Ave,94124,10,Bayview Hunters Point,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,03/01/2022,,,03/01/2022,09/01/2023,,,,Not Applicable,,,03/03/2015,,70,10,60,14,0,0,6,4,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-133,(1) Preliminary Phase,Transbay Block 4 (Podium),0,Address not yet assigned,1899-12-31T00:00:00.000,94105,6,Financial District/South Beach,OCII,OCII Inclusionary Rental Program,Transbay,New Construction,Rental,05/01/2021,,,05/01/2021,05/01/2024,1899-12-31T00:00:00.000,,,Not Applicable,,,,,192,192,0,100,0,0,0,0,0,0,0,0,0,,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
