Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_rxqg_mtj9,:@computed_region_jx4q_fizf,:@computed_region_uruc_drv6
201307292963,8,otc alterations permit,07/29/2013,0237,016,353,,Sacramento,St,,,"23rd floor - add 15 new strobes, 14 new speakers to existing fire alarm system. relcoate one smoke detector. ref pa #2013.07.19.2255",complete,12/11/2013,07/29/2013,07/29/2013,12/11/2013,,,23,23,,Y,07/24/2014,10000,15000,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.79405271203426, -122.39975157573498)",131245963383,108,6,3,8,28860,4,10,1,2
M413047,8,otc alterations permit,07/31/2013,0627A,108,2200,,Sacramento,St,1404,,street space for e201307312565,issued,07/31/2013,07/31/2013,07/31/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",131285676858,102,4,6,30,29490,13,1,6,11
M413068,8,otc alterations permit,07/31/2013,0639,015,2151,,Sacramento,St,,,street space permit,issued,07/31/2013,07/31/2013,07/31/2013,,,,,,,,,,1,,,,,,,,,,,,,,,,1312861236164,,,,,,,,,
M413107,8,otc alterations permit,07/31/2013,1022,022,3239,,Sacramento,St,,,street space,issued,07/31/2013,07/31/2013,07/31/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94115,"(37.78800188030166, -122.44623212445869)",1312868469026,10,8,6,31,29490,13,1,9,11
201308013360,8,otc alterations permit,08/01/2013,0240,020,635,,Sacramento,St,,,7th floor-fire alarm-relocate 6 devices & remove 1,complete,11/25/2013,08/01/2013,08/01/2013,11/25/2013,,,8,8,,Y,07/27/2014,5000,5000,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94104,"(37.79323391658362, -122.40366760544659)",1312981371116,108,6,3,8,28854,4,10,1,2
M414087,8,otc alterations permit,08/05/2013,0627,054,2220,,Sacramento,St,0,,street space permit,issued,08/05/2013,08/05/2013,08/05/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.7906070462778, -122.43008789874582)",1313175432248,102,4,6,30,29490,13,1,6,11
201308053542,8,otc alterations permit,08/05/2013,1019,025,3553,,Sacramento,St,,,installation of fire sprinkler system throughout 2 unit bldg per nfpa 13. 17 ft. long underground work included. 70 total sprnkler heads. ref app#201112120460.,complete,09/28/2016,08/05/2013,08/12/2013,09/28/2016,,,3,4,,Y,08/07/2014,30000,45000,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78737401868037, -122.45116555710186)",131322887303,10,8,6,31,54,11,1,9,11
201308053542,8,otc alterations permit,08/05/2013,1019,025,3555,,Sacramento,St,,,installation of fire sprinkler system throughout 2 unit bldg per nfpa 13. 17 ft. long underground work included. 70 total sprnkler heads. ref app#201112120460.,complete,09/28/2016,08/05/2013,08/12/2013,09/28/2016,,,3,4,,Y,08/07/2014,30000,45000,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78737401868037, -122.45116555710186)",1313229487483,10,8,6,31,54,11,1,9,11
M414429,8,otc alterations permit,08/06/2013,1014,008,3916,,Sacramento,St,,,street space,issued,08/06/2013,08/06/2013,08/06/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78710171410299, -122.4573754001778)",1313290238744,10,8,6,31,54,11,1,9,11
201308063599,8,otc alterations permit,08/06/2013,0624,006,1960,,Sacramento,St,,,"change extg cabinets with new. remove lath plaster, plmg upgrade. p-trap, sink, dishwasher. new countertops and appliances. electrical and plumbing under seperate permit. all work on 1st floor unit. kitchen remodel, area 17'x12' lighting comply with cec 150 k",complete,01/17/2014,08/06/2013,08/06/2013,01/17/2014,,,3,3,,,08/01/2014,27803,27803,apartments,3,apartments,3,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79122720289501, -122.42517025531491)",1313299358720,102,4,6,30,28858,13,1,6,11
201308093996,8,otc alterations permit,08/09/2013,1012,044,3716,,Sacramento,St,,,"plans for seismic upgrade of ground floor, and incorporates elements and scope of work contained in app#201208248244 (originally voluntary strengthening only). addition seismic upgrade elements are now added with engineer's design and calculations for ground floor only.",complete,05/06/2014,08/09/2013,08/09/2013,05/06/2014,,,3,3,,,08/04/2014,3000,3000,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78752950570368, -122.4540177790619)",131378887106,10,8,6,31,54,11,1,9,11
201308094010,3,additions alterations or repairs,08/09/2013,1016,001,3801,,Sacramento,St,,,replacement of a 2' microwave dish with a 2' microwave dish at 100' above ground level w/no anticipated ground distrorbance,withdrawn,06/23/2014,08/09/2013,,,,,8,8,,,,10000,,office,0,office,0,2,,1,constr type 1,1,constr type 1,,2,Presidio Heights,94118,"(37.786828513457834, -122.4554481066711)",131380687224,10,8,6,31,54,11,1,9,11
M417087,8,otc alterations permit,08/14/2013,0634,021,2655,,Sacramento,St,,,street space permit,issued,08/14/2013,08/14/2013,08/14/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.789302440582865, -122.43648930681188)",1314163281027,102,4,6,30,29490,13,1,9,11
201308144261,8,otc alterations permit,08/14/2013,0240,020,550,,California,St,,,"7th floor (sacramento tower) full floor t.i. including partitions, ceilings, restroom upgrades, electrical, hvac, plumbing.life safety separate permits.",complete,02/11/2015,08/14/2013,10/03/2013,02/11/2015,,,13,13,,,09/17/2016,625000,960000,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94104,"(37.79323391658362, -122.40366760544659)",131417363408,108,6,3,8,28854,4,10,1,2
201308194636,8,otc alterations permit,08/19/2013,1025,027B,2961,,Sacramento,St,,,"repair/replace siding, side yard, 608 sq. ft.",complete,07/16/2014,08/19/2013,08/19/2013,07/16/2014,,,3,3,,,08/14/2014,500,1800,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.788597394918035, -122.44155250925718)",131464487473,102,8,6,30,29490,13,1,9,11
201308194616,8,otc alterations permit,08/19/2013,1025,025,2985,,Sacramento,St,,,"remodel (e) bathroom in kind, remodel kitchen, replace cabinets, counters & flooring & re-wire electrical/lightings, replace sheetrock w/new & repair (e) deck in kind. all work at 2nd floor (2985 sacramento st).",complete,02/10/2015,08/19/2013,02/14/2014,02/10/2015,,,2,2,,,02/09/2015,20000,50000,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78868520901647, -122.44201107919416)",1314655492446,102,8,6,30,29490,13,1,9,11
201308204750,8,otc alterations permit,08/20/2013,0249,027,1545,,Sacramento,St,,,apt. #1:  to remodel existing one kitchen and one bathroom,complete,10/24/2013,08/20/2013,08/20/2013,10/24/2013,,,3,3,,,08/15/2014,15000,15000,apartments,7,apartments,7,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.791570729103, -122.41825706569227)",1314855233230,16,6,3,21,28858,5,10,1,2
M419387,8,otc alterations permit,08/21/2013,1018,011,3665,,Sacramento,St,,,street space,issued,08/21/2013,08/21/2013,08/21/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.7871473624597, -122.45294434790752)",1314998371590,10,8,6,31,54,11,1,9,11
201308224970,8,otc alterations permit,08/22/2013,0237,014,353,,Sacramento,St,,,"23rd floor-add/relocate/remove fire sprinkler heads per t.i-add 8, relocate 74 & 14 removed.  ref # 201307192255",complete,12/11/2013,08/22/2013,08/22/2013,12/11/2013,,,23,23,,Y,08/17/2014,41600,49300,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.793939246651824, -122.3997359594495)",131515663381,108,6,3,8,28860,4,10,1,2
201308224975,8,otc alterations permit,08/22/2013,1004,009,2912,,Sacramento,St,,,replace existing garage doors & openers.  replacement in kind.,issued,08/22/2013,08/22/2013,08/22/2013,,,,3,3,,,08/17/2014,7470,7470,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78917854562329, -122.44134070511424)",131516386765,102,8,6,30,29490,13,1,9,11
201308225006,8,otc alterations permit,08/22/2013,0223,007,1028,,Sacramento,St,0,,reroofing,issued,08/22/2013,08/22/2013,08/22/2013,,,,3,3,,,08/17/2014,18650,18650,apartments,3,apartments,3,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94108,"(37.793154355219684, -122.40995922252904)",1315197297258,16,6,3,21,28857,3,10,1,2
201308225006,8,otc alterations permit,08/22/2013,0223,007,1032,,Sacramento,St,,,reroofing,issued,08/22/2013,08/22/2013,08/22/2013,,,,3,3,,,08/17/2014,18650,18650,apartments,3,apartments,3,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94108,"(37.793154355219684, -122.40995922252904)",1315199385721,16,6,3,21,28857,3,10,1,2
201308265174,8,otc alterations permit,08/26/2013,0627A,042,2200,,Sacramento,St,,,"cosmetic upgrade to (e) lobby to include replace damaged sheetrock ceiling, maintain fire restive rating 5/8 type x sheetrock. replace (e) lights, replace lobby doors (interior) & floor covering",complete,01/24/2014,08/26/2013,08/26/2013,01/24/2014,,,17,17,,,08/21/2014,25000,25000,apartments,126,apartments,126,0,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",131541576792,102,4,6,30,29490,13,1,6,11
201308275299,8,otc alterations permit,08/27/2013,0237,014,353,,Sacramento,St,,,6th floor:add 2 smoke detectors. 2 relay modules and 2 control relays. relocate 2 speakers and three strobes. ref app#201307051199,complete,11/26/2013,08/27/2013,08/27/2013,11/26/2013,,,23,23,,Y,08/22/2014,4000,4000,office,,office,,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.793939246651824, -122.3997359594495)",131556963381,108,6,3,8,28860,4,10,1,2
201308285420,8,otc alterations permit,08/28/2013,0632,003,2744,,Sacramento,St,,,replace existing conventional fire alarm system with new addressable type. install new smoke detector at elevator machine room. install 3 new addressable relay modules for elevator recall. ul cert fa38642219,complete,01/15/2014,08/28/2013,08/28/2013,01/15/2014,,,3,3,,Y,08/23/2014,10000,10000,apartments,24,apartments,24,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.789599530073694, -122.43807292747132)",131572477013,102,4,6,30,29490,13,1,9,11
201308285516,8,otc alterations permit,08/28/2013,1023,001,3103,,Sacramento,St,,,"partial foundation replacement, reference to pa# 201302281150",complete,05/15/2014,08/28/2013,09/04/2013,05/15/2014,,,2,2,,,08/30/2014,12000,16000,retail sales,1,school,1,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78840836962428, -122.44421395195295)",131584887383,102,8,6,30,29490,13,1,9,11
201308305744,8,otc alterations permit,08/30/2013,1013,056,3878,,Sacramento,St,0,,"remove (e) tile in shower; installl new backboard, waterproofing; re-install tiles.",filed,08/30/2013,08/30/2013,,,,,,,,,,2500,2500,,,,,0,,,,,,,2,Presidio Heights,94118,"(37.78721393830937, -122.45646736855984)",1316158463005,10,8,6,31,54,11,1,9,11
201308305646,8,otc alterations permit,08/30/2013,1013,056,3878,,Sacramento,St,0,,"remove (e) tiel, install new backboard, waterproofing. reinstall tile.",issued,08/30/2013,08/30/2013,08/30/2013,,,,4,4,,,08/25/2014,2500,2500,apartments,3,apartments,3,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78721393830937, -122.45646736855984)",1316160463005,10,8,6,31,54,11,1,9,11
M423408,8,otc alterations permit,09/05/2013,1014,037,3950,,Sacramento,St,,,street space permit,issued,09/05/2013,09/05/2013,09/05/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.787225553737514, -122.45806740681026)",1316463463986,10,8,6,31,54,11,1,9,11
M423767,8,otc alterations permit,09/05/2013,0222,009,1100,,Sacramento,St,,,street space permit,issued,09/05/2013,09/05/2013,09/05/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",1316590233026,16,6,3,21,28857,3,10,1,2
M423947,8,otc alterations permit,09/06/2013,1015,037,3965,,Sacramento,St,,,street space,issued,09/06/2013,09/06/2013,09/06/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78646341561909, -122.45831443215849)",131668687207,10,8,6,31,54,11,1,9,11
M424487,8,otc alterations permit,09/09/2013,1012,044,3716,,Sacramento,St,,,street space permit,issued,09/09/2013,09/09/2013,09/09/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78752950570368, -122.4540177790619)",131686387106,10,8,6,31,54,11,1,9,11
M425267,8,otc alterations permit,09/10/2013,1007,011,3228,,Sacramento,St,,,street space,issued,09/10/2013,09/10/2013,09/10/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94115,"(37.78856145735553, -122.44618810335785)",131710786897,10,8,6,31,29490,13,1,9,11
M425467,8,otc alterations permit,09/11/2013,1005,013,3064,,Sacramento,St,0,,street space permit,issued,09/11/2013,09/11/2013,09/11/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78890765048618, -122.44346886190036)",1317171396707,102,8,6,30,29490,13,1,9,11
201309136729,8,otc alterations permit,09/13/2013,1018,011,3665,,Sacramento,St,,,"explortory demo work for architect. opening walls to see whats behind it, max 10% non structural only",issued,09/13/2013,09/13/2013,09/13/2013,,,,2,2,,,09/08/2014,500,500,retail sales,0,retail sales,0,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.7871473624597, -122.45294434790752)",1317446371590,10,8,6,31,54,11,1,9,11
201309136753,8,otc alterations permit,09/13/2013,0222A,028,1170,,Sacramento,St,8,D,"add 2 smoke detectors, 8 speakers as part of renovation of unit 8d.  ref bldg permit application # 201305318323.",complete,03/06/2014,09/13/2013,09/13/2013,03/06/2014,,,19,19,,Y,09/08/2014,5500,5500,apartments,73,apartments,73,2,,1,constr type 1,1,constr type 1,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",131747863037,16,6,3,21,28857,3,10,1,2
201309136814,8,otc alterations permit,09/13/2013,1012,014,3744,,Sacramento,St,,,"2nd floor remodel, new washer /dryer unit, remodel 1 bath, convert e family into new bedroom, infill door into e sunroom",complete,01/22/2014,09/13/2013,09/23/2013,01/22/2014,,,4,4,,,09/18/2014,5000,19000,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.787506819286854, -122.45446877657525)",131755987080,10,8,6,31,54,11,1,9,11
201309166904,8,otc alterations permit,09/16/2013,0627A,042,2200,,Sacramento,St,,,"revision to 201308265174: add new 60"" metal stud wal with 5/8 rock both sides. install 1 3x68 1 3/4 thick fire rated door with metal jamb. back wall and side walls are existing concrete.",filed,09/16/2013,09/16/2013,,,,,17,17,,,,12000,0,apartments,126,apartments,126,2,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",131767876792,102,4,6,30,29490,13,1,6,11
201309166909,8,otc alterations permit,09/16/2013,1004,011,2916,,Sacramento,St,,,to remodel one master bathroom/tile fixtures only. same locations. to remodel one  guest bathroom. new tile and fixtures same locations.non structural closet.,complete,01/07/2014,09/16/2013,09/16/2013,01/07/2014,,,3,3,,,09/11/2014,40000,40000,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,,,,,1317684238632,,,,,,,,,
201309166935,8,otc alterations permit,09/16/2013,1007,014,3252,,Sacramento,St,,,revision to 201305015931. revise ada hardship requrest to delete electronic door opener at entry,complete,12/24/2013,09/16/2013,09/16/2013,12/24/2013,,,2,2,,,09/11/2014,1,1,retail sales,2,retail sales,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94115,"(37.78852574671756, -122.44646857311267)",1317726352240,10,8,6,31,29490,13,1,9,11
201309197234,8,otc alterations permit,09/19/2013,0639,029,2171,,Sacramento,St,,,"repair in kind - rear of building:  wood siding, 2 sections approx. 8'x10' per section - no structural work",complete,10/16/2013,09/19/2013,09/19/2013,10/16/2013,,,3,3,,,09/14/2014,2000,2000,apartments,13,apartments,13,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.790255287954395, -122.42851499039261)",1318114451070,102,4,6,30,28858,13,1,6,11
201309197234,8,otc alterations permit,09/19/2013,0639,017,2171,,Sacramento,St,,,"repair in kind - rear of building:  wood siding, 2 sections approx. 8'x10' per section - no structural work",complete,10/16/2013,09/19/2013,09/19/2013,10/16/2013,,,3,3,,,09/14/2014,2000,2000,apartments,13,apartments,13,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.790255287954395, -122.42851499039261)",1318115410150,102,4,6,30,28858,13,1,6,11
201309237504,8,otc alterations permit,09/23/2013,0219,011,1474,,Sacramento,St,,,kitchen and bathroom rmeodel  -unit 210,complete,02/20/2014,09/23/2013,09/23/2013,02/20/2014,,,4,4,,,09/18/2014,15000,22000,apartments,42,apartments,42,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79223671011036, -122.4171549432465)",1318470232954,16,6,3,21,28858,5,10,1,2
201309237538,8,otc alterations permit,09/23/2013,0222,009,1100,,Sacramento,St,,,"interior remodel of uits 402 and 502. kitchen and baths. removal of non structural partitions, construct new",complete,03/24/2014,09/23/2013,10/04/2013,03/24/2014,,,11,11,,,09/18/2016,150000,175000,apartments,33,apartments,33,2,,2,constr type 2,2,constr type 2,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",131851362957,16,6,3,21,28857,3,10,1,2
M429267,8,otc alterations permit,09/25/2013,1025,033,2965,,Sacramento,St,0,,street space permit,issued,09/25/2013,09/25/2013,09/25/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.788582506415906, -122.44166953920005)",1318742416693,102,8,6,30,29490,13,1,9,11
201309267828,8,otc alterations permit,09/26/2013,1019,034,3519,,Sacramento,St,,,"add new master bathroom at existing sitting room on the 3/f, connect drains for new plumbing to the sewer without entering any other apartment unit.",issued,09/26/2013,09/26/2013,09/26/2013,,,,3,3,,,09/21/2014,9800,9800,apartments,3,apartments,3,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.787477133024225, -122.45062875056544)",1318867365559,10,8,6,31,54,11,1,9,11
201309267837,8,otc alterations permit,09/26/2013,0222A,069,1170,,Sacramento,St,19,A,"add 4 smoke detectors, 4 speakers & 1 relay as part of remodel of penthouse a. ref. const bldg. pa# 201305318326 & 201208217921",complete,04/07/2014,09/26/2013,09/26/2013,04/07/2014,,,19,19,,Y,09/21/2014,5500,5500,apartments,73,apartments,73,2,,1,constr type 1,1,constr type 1,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",131887663016,16,6,3,21,28857,3,10,1,2
201309277967,8,otc alterations permit,09/27/2013,1018,009,3681,,Sacramento,St,,,reroofing,issued,09/27/2013,09/27/2013,09/27/2013,,,,3,3,,,09/22/2014,12300,12300,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78715352378335, -122.45316898393703)",1319065452160,10,8,6,31,54,11,1,9,11
201309278000,8,otc alterations permit,09/27/2013,0227,014,660,,Sacramento,St,,,"convert existing 2/f bathrooms to ada compliant, upgrade accessibility to 2/f men & women bathrooms.",complete,01/14/2014,09/27/2013,10/01/2013,01/14/2014,,,4,4,,,09/26/2014,24000,24000,office,0,office,0,2,,2,constr type 2,2,constr type 2,,3,Chinatown,94111,"(37.793882764156784, -122.40400500443309)",1319103368741,104,6,3,6,28860,3,10,1,2
M430247,8,otc alterations permit,09/27/2013,0222A,103,1170,,Sacramento,St,,,street space,issued,09/27/2013,09/27/2013,09/27/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",131913063082,16,6,3,21,28857,3,10,1,2
M430911,8,otc alterations permit,10/01/2013,0219,010,1456,,Sacramento,St,,,street space,issued,10/01/2013,10/01/2013,10/01/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.79226170427889, -122.41695919302323)",1319336232952,16,6,3,21,28858,5,10,1,2
201310018199,8,otc alterations permit,10/01/2013,1018,009,3681,,Sacramento,St,,,1st floor gallery-install voluntary automatic fire alarm system per nfpa 72,complete,01/02/2014,10/01/2013,10/01/2013,01/02/2014,,,2,2,,Y,09/26/2014,2522,2522,office,2,office,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78715352378335, -122.45316898393703)",1319404452160,10,8,6,31,54,11,1,9,11
201310038403,8,otc alterations permit,10/03/2013,1018,011,3665,,Sacramento,St,,,"t.i.  to remove non-load bearing partitions, install new ada restroom, install new sheetrock.",filed,10/03/2013,10/03/2013,,,,,2,2,,,,15000,15000,retail sales,0,retail sales,0,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.7871473624597, -122.45294434790752)",1319684371590,10,8,6,31,54,11,1,9,11
201310098833,8,otc alterations permit,10/09/2013,1007,011,3228,,Sacramento,St,,,"install ul 300 ansul system to protect kitchen hood, duct, & cooking appliances. ref pa #2012.11.16.4368",complete,10/16/2013,10/09/2013,10/09/2013,10/16/2013,,,1,1,,Y,10/04/2014,3000,4200,retail sales,0,food/beverage hndlng,0,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94115,"(37.78856145735553, -122.44618810335785)",132024386897,10,8,6,31,29490,13,1,9,11
201310098903,8,otc alterations permit,10/09/2013,1012,007,3700,,Sacramento,St,,,"replace 2 furnace in kind replacement. replace duct work, installed in same place as all previous equipment  and duct work in the attic. comply with minimum standard insullation  r8 minimum.",complete,10/22/2013,10/09/2013,10/09/2013,10/22/2013,,,3,3,,,10/04/2014,13300,13300,office,0,office,0,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78755453414823, -122.45382131311908)",132032687074,10,8,6,31,54,11,1,9,11
201310098915,8,otc alterations permit,10/09/2013,0627A,049,2200,,Sacramento,St,701,,unit 701:remove and replace kitchen cabinets/applinaces. remove and replace vanites/toilets/shower/tub in bath. interior wall repairs.,complete,05/09/2014,10/09/2013,10/09/2013,05/09/2014,,,17,17,,,10/04/2014,100000,100000,apartments,126,apartments,126,0,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",132034376799,102,4,6,30,29490,13,1,6,11
201310098926,8,otc alterations permit,10/09/2013,0644,019,1669,,Sacramento,St,0,,"comply with nov 201321831, 201325701, 201322691, 201321402.  construct two full and one half-bath; two study rooms, one office, one family room, two storage rooms, exercise room, foyer and laundry room on ground floor for unit #1669.  replace window (in kind) at rear.",complete,06/17/2014,10/09/2013,10/16/2013,06/17/2014,,,3,3,,,10/11/2014,40000,78000,apartments,3,apartments,3,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79131212334973, -122.42027087972755)",1320356417102,105,4,3,21,28858,13,10,6,2
201310109056,8,otc alterations permit,10/10/2013,1010,012,3548,,Sacramento,St,,,"t.i.  of an  extg ground level retail space. new interior non structural partitions, finishes and millwork, plmg, electrical, mechanical are design build and under a seperate permit.",complete,04/04/2014,10/10/2013,12/11/2013,04/04/2014,,,2,2,,,11/25/2016,100000,190000,retail sales,2,retail sales,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78791397458118, -122.45127249713417)",1320523367158,10,8,6,31,54,11,1,9,11
M434987,8,otc alterations permit,10/15/2013,0627A,049,2200,,Sacramento,St,701,,street space,issued,10/15/2013,10/15/2013,10/15/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",132077076799,102,4,6,30,29490,13,1,6,11
201310169440,8,otc alterations permit,10/16/2013,0642,010,1865,,Sacramento,St,,,"repair damaged framing associated with both lightwell stairs lines. not visable to structural, less than 50%",complete,01/15/2014,10/16/2013,10/16/2013,01/15/2014,,,3,3,,,10/11/2014,6000,6000,apartments,6,apartments,6,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79089063157621, -122.42353670446823)",132102077393,102,4,6,30,28858,13,1,6,11
M436067,8,otc alterations permit,10/17/2013,0644,019,1669,,Sacramento,St,0,,street space,issued,10/17/2013,10/17/2013,10/17/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.79131212334973, -122.42027087972755)",1321226417102,105,4,3,21,28858,13,10,6,2
201310189662,8,otc alterations permit,10/18/2013,1004,009,2912,,Sacramento,St,,,"repair drywall in garage ceiling, approximately 300 square feet.",complete,11/19/2013,10/18/2013,10/18/2013,11/19/2013,,,2,2,,,10/13/2014,1250,1250,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78917854562329, -122.44134070511424)",132130786765,102,8,6,30,29490,13,1,9,11
201310250207,8,otc alterations permit,10/25/2013,0635,032,2525,,Sacramento,St,0,,"bathroom remodel -  install new double sink, new tub, new tiles for shower stall and floor, frame in new tub deck  relocate electrical outlets.",complete,03/07/2014,10/25/2013,10/25/2013,03/07/2014,,,3,3,,,10/20/2014,25000,25000,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.789452528595696, -122.4348402650978)",1322006392389,102,4,6,30,29490,13,1,6,11
201310280410,8,otc alterations permit,10/28/2013,0237,014,353,,Sacramento,St,,,modification of an extg at&t facility including installation of 3 new rrus and 3 new surge suppressors near the extg antennas on roof.,complete,03/18/2014,10/28/2013,12/16/2013,03/18/2014,,,33,33,,,12/11/2014,15000,15000,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.793939246651824, -122.3997359594495)",132226763381,108,6,3,8,28860,4,10,1,2
M439547,8,otc alterations permit,10/29/2013,0222,009,1100,,Sacramento,St,,,street space,issued,10/29/2013,10/29/2013,10/29/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",132246662957,16,6,3,21,28857,3,10,1,2
201310300720,8,otc alterations permit,10/30/2013,0627A,049,2200,,Sacramento,St,701,,revision to pa# 2013-1009-8915-re-adjust interior walls & extend interior wall. exterior windows under separate permit.,complete,05/09/2014,10/30/2013,11/01/2013,05/09/2014,,,17,17,,,10/27/2014,1,22000,apartments,126,apartments,126,2,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",132263976799,102,4,6,30,29490,13,1,6,11
